2018 SOC Code,2018 SOC Direct Match Title
41-4011,Chemical Sales Representative
41-4011,Electroplating Sales Representative
41-4011,Engineering Supplies Sales
41-4011,Pharmaceutical Detailer
41-4011,Pharmaceutical Sales Representative
41-4011,Pharmaceutical Salesperson
41-4011,Surgical Instruments Sales Representative
41-4011,Wholesale Ultrasonic Equipment Salesperson
41-4012,Bottling Equipment Sales Representative
41-4012,Freight Broker
41-4012,Hotel Supplies Salesperson
41-4012,Mortician Supplies Sales Representative
41-4012,Pulpwood Dealer
41-4012,Wholesale Diamond Broker
41-9011,Home Demonstrator
41-9011,Home Service Demonstrator
41-9011,Hostess Party Sales Representative
41-9011,In-Store Demonstrator
41-9012,Artist's Model
41-9012,Clothes Model
41-9012,Fashion Model
41-9012,Figure Model
41-9012,Hand Model
41-9012,Hat Model
41-9012,Photographer's Model
41-9012,Studio Model
41-9021,Licensed Real Estate Broker
41-9022,Agricultural Real Estate Agent
41-9022,Apartment Rental Agent
41-9022,Industrial Real Estate Agent
41-9022,Land Sales Agent
41-9022,Right of Way Agent
41-9031,Aerospace Products Sales Engineer
41-9031,Missile Navigation Systems Sales Engineer
41-9031,Nuclear Equipment Sales Engineer
41-9041,Inbound Telemarketer
41-9041,Outbound Telemarketer
41-9041,Telemarketing Sales Representative
41-9041,Telephone Solicitor
41-9041,Telesales Representative
41-9041,Telesales Specialist
41-9091,Newspaper Carrier
41-9091,Newstand Vendor
41-9091,Peddler
41-9091,Souvenir Street Vendor
41-9099,Auctioneer
41-9099,Blood Donor Recruiter
41-9099,Leaflet Distributor
41-9099,Livestock Auctioneer
41-9099,Pawn Shop Clerk
41-9099,Personal Shopper
41-9099,Store Gift Wrap Associate
43-1011,Accounts Payable Supervisor
43-1011,Billing Department Supervisor
43-1011,Billing Supervisor
43-1011,Clerical Supervisor
43-1011,Data Entry Supervisor
43-1011,Medical Billing Supervisor
43-1011,Office Services Supervisor
43-1011,Payroll Supervisor
43-1011,Records Supervisor
43-1011,Teller Supervisor
43-1011,Timekeeping Supervisor
43-2011,PBX Operator
43-2011,Private Branch Exchange Operator
43-2011,Telephone Answering Service Operator
43-2011,Telephone Switchboard Operator
43-2021,411 Directory Assistance Operator
43-2021,Directory Assistance Operator
43-2021,Information Operator
43-2021,Local Telephone Operator
43-2021,Long Distance Operator
43-2021,Telephone Exchange Operator
43-2099,Communications Equipment Operator
43-2099,Radio Operator
43-2099,Telegraph and Teletype Operator
43-2099,Telex Operator
43-3011,Accounts Collector
43-3011,Bill Collector
43-3011,Billing Representative
43-3011,Collection Agent
43-3011,Collections Clerk
43-3011,Collections Representative
43-3011,Debt Collector
43-3011,Installment Agent
43-3011,Installment Loan Collector
43-3011,Insurance Collector
43-3011,Payment Collector
43-3011,Repossessor
43-3021,Billing Clerk
43-3021,Invoice Clerk
43-3021,Invoice Control Clerk
43-3021,Posting Clerk
43-3021,Statement Clerk
43-3021,Statement Distribution Clerk
43-3021,Statement Processor
43-3031,Accounts Receivable Assistant
43-3031,Accounts Receivable Clerk
43-3031,Auditing Clerk
43-3031,Bookkeeper
43-3031,Fixed Capital Clerk
43-3031,Foreign Exchange Position Clerk
43-3031,Mortgage Accounting Clerk
43-3041,Cage Cashier
43-3041,Casino Cage Cashier
43-3041,Casino Cashier
43-3041,Gambling Cage Cashier
43-3041,Gambling Cashier
43-3051,Flight Crew Time Clerk
43-3051,Payroll Bookkeeper
43-3051,Personnel Scheduler
43-3051,Time and Attendance Clerk
43-3051,Time Clerk
43-3051,Timekeeper
43-3061,Procurement Assistant
43-3061,Purchasing Assistant
43-3061,Purchasing Clerk
43-3071,Bank Teller
43-3071,Commercial Teller
43-3071,Exchange Teller
43-3071,Foreign Banknote Teller
43-3071,Foreign Exchange Clerk
43-3071,Loan Teller
43-3071,Money Order Clerk
43-3071,Receiving Teller
43-3071,Savings Teller
43-3071,Securities Teller
43-3099,Bank Vault Attendant
43-3099,Bank Vault Clerk
43-3099,Bank Vault Custodian
43-3099,Financial Operations Clerk
43-3099,Financial Reserve Clerk
43-3099,Safe Deposit Clerk
43-3099,Safety Deposit Clerk
43-3099,Vault Teller
43-4011,Brokerage Purchase-and-Sale Clerk
43-4011,Commodities Clerk
43-4011,Dividend Clerk
43-4011,Securities Clerk
43-4021,Claims Correspondence Clerk
43-4021,Correspondence Representative
43-4021,Correspondence Transcriber
43-4021,Customer Service Correspondence Clerk
43-4021,Fan Mail Editor
43-4021,Medicare Correspondence Representative
43-4021,Student Loan Correspondent
43-4031,Circuit Court Clerk
43-4031,City Clerk
43-4031,Court Clerk
43-4031,Courtroom Clerk
43-4031,Deputy Court Clerk
43-4031,Docket Clerk
43-4031,Dog Licenser
43-4031,License Clerk
43-4031,Motor Vehicle License Clerk
43-4031,Motor Vehicle Representative
43-4031,Municipal Clerk
43-4031,Tax Clerk
43-4031,Township Clerk
43-4031,Warrant Clerk
43-4041,Charge Authorizer
43-4041,Commercial Credit Reviewer
43-4041,Credit Authorizer
43-4041,Credit Charge Authorizer
43-4041,Credit Checker
43-4041,Credit Investigator
43-4041,Credit Processor
43-4041,Credit Rating Checker
43-4041,Credit Reference Clerk
43-4041,Credit Report Checker
43-4051,Complaint Clerk
43-4051,Contact Center Specialist
43-4051,Customer Complaint Clerk
43-4051,Customer Contact Specialist
43-4051,Customer Relations Representative
43-4051,Customer Support Representative
43-4051,Gas Distribution and Emergency Clerk
43-4051,Passenger Relations Representative
43-4051,Policyholder Information Clerk
43-4051,Warranty Clerk
43-4061,Medicare Interviewer
43-4061,Public Housing Interviewer
43-4061,Social Security Benefits Interviewer
43-4061,Unemployment Benefits Claims Taker
43-4061,Welfare Interviewer
43-4071,Cut File Clerk
43-4071,Document Clerk
43-4071,File Keeper
43-4071,Index Clerk
43-4071,Records Clerk
43-4081,Assistant Innkeeper
43-4081,Hotel Desk Clerk
43-4081,Hotel Front Desk Clerk
43-4081,Hotel Registration Clerk
43-4081,Motel Clerk
43-4081,Motel Front Desk Attendant
43-4081,Resort Desk Clerk
43-4111,Admitting Interviewer
43-4111,Census Clerk
43-4111,Census Taker
43-4111,Field Enumerator
43-4111,Market Research Interviewer
43-4111,Outpatient Interviewing Clerk
43-4111,Survey Interviewer
43-4111,Telephone Interviewer
43-4121,Book Sorter
43-4121,Braille and Talking Books Clerk
43-4121,Circulation Clerk
43-4121,Film Library Clerk
43-4121,Library Aide
43-4121,Library Assistant
43-4121,Library Circulation Clerk
43-4121,Library Clerk
43-4121,Medical Library Assistant
43-4121,Microfilm Clerk
43-4131,Loan Interviewer
43-4131,Loan Processor
43-4131,Mortgage Closing Clerk
43-4131,Mortgage Loan Closer
43-4131,Mortgage Loan Processing Clerk
43-4131,Mortgage Loan Processor
43-4131,Mortgage Processor
43-4141,Banking Services Clerk
43-4141,New Accounts Banking Representative
43-4141,New Client Banking Services Clerk
43-4151,Catalogue Clerk
43-4151,Classified Ad Clerk
43-4151,Mail Order Clerk
43-4151,Order Desk Clerk
43-4151,Service Order Clerk
43-4151,Subscription Clerk
43-4151,Want Ad Clerk
43-4161,Employment Clerk
43-4161,HR Clerk
43-4161,Personnel Clerk
43-4171,Appointment Clerk
43-4171,Dental Receptionist
43-4171,Front Desk Receptionist
43-4171,Land Leasing Information Clerk
43-4181,Airline Reservation Agent
43-4181,Airline Reservationist
43-4181,Airline Ticket Agent
43-4181,Gate Agent
43-4181,Hotel Reservationist
43-4181,Passenger Agent
43-4181,Passenger Booking Clerk
43-4181,Reservation Agent
43-4181,Reservation Sales Agent
43-4181,Train Clerk
43-4181,Train Reservation Clerk
43-4181,Transportation Clerk
43-4181,Travel Clerk
43-4199,Election Clerk
43-4199,Flight Crew Scheduler
43-4199,Probate Clerk
43-4199,Student Admissions Clerk
43-5011,Cargo Agent
43-5011,Cargo Router
43-5011,Freight Agent
43-5011,Freight Shipping Agent
43-5021,Bank Courier
43-5021,Bicycle Messenger
43-5021,Courier
43-5021,Court Messenger
43-5021,Laboratory Courier
43-5021,Office Messenger
43-5021,Office Runner
43-5031,911 Dispatcher
43-5031,911 Operator
43-5031,Ambulance Dispatcher
43-5031,Emergency Communications Dispatcher
43-5031,Emergency Communications Operator
43-5031,Emergency Operator
43-5031,Emergency Telecommunications Dispatcher
43-5031,Fire Dispatcher
43-5031,Police Dispatcher
43-5031,Police Radio Dispatcher
43-5031,Public Safety Dispatcher
43-5031,Public Safety Telecommunicator
43-5032,Airplane Dispatch Clerk
43-5032,Auto Service Dispatcher
43-5032,Bus Dispatcher
43-5032,Crew Dispatcher
43-5032,Maintenance Dispatcher
43-5032,School Bus Dispatcher
43-5032,Taxicab Dispatcher
43-5032,Tow Truck Dispatcher
43-5032,Train Dispatcher
43-5032,Truck Dispatcher
43-5041,Electric Meter Reader
43-5041,Gas Meter Reader
43-5041,Water Meter Reader
43-5051,Bulk Mail Clerk
43-5051,Bulk Mail Technician
43-5051,Parcel Post Clerk
43-5051,Postal Clerk
43-5051,Postal Service Clerk
43-5051,Postal Service Window Clerk
43-5052,City Letter Carrier
43-5052,Letter Carrier
43-5052,Mail Deliverer
43-5052,Parcel Post Carrier
43-5052,Postal Mail Carrier
43-5052,Rural Mail Carrier
43-5052,Rural Route Carrier
43-5052,USPS Letter Carrier
43-5053,Flat Sorter Operator
43-5053,Flat Sorting Machine Clerk
43-5053,Mail Forwarding System Markup Clerk
43-5053,Parcel Post Distribution Machine Operator
43-5053,Post Office Markup Clerk
43-5053,Postal Service Mail Processor
43-5053,Small Package and Bundle Sorter Clerk
43-5061,Expeditor
43-5061,Material Control Clerk
43-5061,Material Expediter
43-5061,Mill Recorder
43-5061,Production Control Clerk
43-5061,Production Control Coordinating Clerk
43-5061,Production Control Coordinator
43-5061,Production Scheduler
43-5061,Work Ticket Distributor
43-5071,Freight Clerk
43-5071,Incoming Freight Clerk
43-5071,Inventory Control Clerk
43-5071,Inventory Taker
43-5071,Receiving Clerk
43-5071,Reconsignment Clerk
43-5071,Route Delivery Clerk
43-5071,Shipping and Receiving Clerk
43-5071,Shipping Order Clerk
43-5071,Stockroom Attendant
43-5071,Stockroom Clerk
43-5071,Store Receiving Clerk
43-5071,Supply Clerk
43-5071,Supply Room Clerk
43-5071,Tool Crib Attendant
43-5071,Warehouse Clerk
43-5111,Bean Weigher
43-5111,Cheese Weigher
43-5111,Freight Checker
43-5111,Sample Checker
43-5111,Scale Attendant
43-5111,Scale Clerk
43-5111,Scale Operator
43-5111,Warehouse Checker
43-5111,Weighing Station Operator
43-5111,Wool Sampler
43-6011,Executive Assistant
43-6012,Accredited Legal Secretary
43-6012,Certified Legal Secretary Specialist
43-6012,Law Secretary
43-6012,Legal Administrative Assistant
43-6013,Dental Secretary
43-6013,Hospital Secretary
43-6013,Psychiatric Secretary
43-6014,Alumni Secretary
43-6014,Office Secretary
43-6014,Personal Secretary
43-6014,Real Estate Administrative Assistant
43-9021,Customs Entry Clerk
43-9021,Data Entry Clerk
43-9021,Data Input Clerk
43-9021,Data Keyer
43-9021,Data Processing Clerk
43-9021,Data Typist
43-9021,Key Punch Operator
43-9021,Keypunch Operator
43-9021,Keypuncher
43-9022,Clerk Typist
43-9022,Dictaphone Typist
43-9022,Statistical Typist
43-9022,Transcription Typist
43-9022,Typist
43-9022,Word Processor
43-9031,Desktop Publishing Specialist
43-9031,DTP Operator
43-9031,Electronic Console Display Operator
43-9031,Electronic Imager
43-9031,Electronic Pagination System Operator
43-9031,Electronic Publisher
43-9031,Electronic Publishing Specialist
43-9041,Insurance Claims Clerk
43-9041,Insurance Clerk
43-9041,Insurance Examining Clerk
43-9041,Insurance Policy Issue Clerk
43-9041,Underwriting Assistant
43-9041,Underwriting Clerk
43-9051,Direct Mail Clerk
43-9051,Mailroom Clerk
43-9051,Packaging Clerk
43-9061,Administrative Clerk
43-9061,Office Assistant
43-9061,Office Clerk
43-9061,Real Estate Clerk
43-9071,Business Machine Operator
43-9071,Coin Machine Operator
43-9071,Coin Rolling Machine Operator
43-9071,Coin Wrapping Machine Operator
43-9071,Collator Operator
43-9071,Copy Center Operator
43-9071,Copy Machine Operator
43-9071,Duplicating Machine Operator
43-9071,Scanning Equipment Operators
43-9081,Braille Proofreader
43-9081,Clerical Proofreader
43-9081,Copy Reader
43-9081,Editorial Assistant
43-9081,Format Proofreader
43-9081,Proofreader
43-9111,Actuarial Assistant
43-9111,Actuary Clerk
43-9111,Data Analysis Assistant
43-9111,Statistical Clerk
43-9111,Tariff Compiling Clerk
43-9199,Braille Transcriber
43-9199,Envelope Stuffer
43-9199,Fingerprint Clerk
43-9199,Investigation Clerk
43-9199,Newspaper Inserter
43-9199,Notary Public
45-1011,Animal Caretaker Supervisor
45-1011,Aquacultural Worker Supervisor
45-1011,Corn Crop Supervisor
45-1011,Corral Boss
45-1011,Cranberry Bog Supervisor
45-1011,Farm Supervisor
45-1011,Farrowing Manager
45-1011,Feed Manager
45-1011,Fish Hatchery Supervisor
45-1011,Harvest Crew Supervisor
45-1011,Harvest Manager
45-1011,Logging Crew Supervisor
45-1011,Picking Crew Supervisor
45-1011,Planting Supervisor
45-1011,Ranch Hand Supervisor
45-2011,Cattle Examiner
45-2011,Cattle Inspector
45-2011,Grain Sampler
45-2011,Meat and Poultry Inspector
45-2011,Milk Tester
45-2011,Wheat Inspector
45-2021,Cat Breeder
45-2021,Dairy Husbandry Worker
45-2021,Dog Breeder
45-2021,Equine Breeder
45-2021,Horse Breeder
45-2021,Livestock Breeder
45-2021,Poultry Inseminator
45-2021,Stallion Manager
45-2041,Apple Sorter
45-2041,Cherry Sorter
45-2041,Cotton Grader
45-2041,Egg Grader
45-2041,Fruit Sorter
45-2041,Meat Grader
45-2041,Oyster Sorter
45-2041,Peanut Grader
45-2041,Potato Sorter
45-2041,Seed Sorter
45-2041,Strawberry Sorter
45-2041,Vegetable Sorter
45-2041,Wool Grader
45-2091,Cane Flume Chute Operator
45-2091,Combine Driver
45-2091,Combine Operator
45-2091,Corn Detasseler Machine Operator
45-2091,Cotton Ginner
45-2091,Cotton Picker Operator
45-2091,Custom Harvester
45-2091,Farm Tractor Operator
45-2091,Feed Mixer Operator
45-2091,Hay Baler
45-2091,Hay Stacker Operator
45-2091,Rake Operator
45-2091,Replanting Machine Operator
45-2091,Tractor Operator
45-2091,Wheat Combine Driver
45-2092,Cane Cutter
45-2092,Carrot Harvester
45-2092,Citrus Picker
45-2092,Corn Picker
45-2092,Cotton Picker
45-2092,Crop Picker
45-2092,Flower Picker
45-2092,Greenhouse Transplanter
45-2092,Harvest Worker
45-2092,Harvester
45-2092,Orchard Hand
45-2092,Orchard Worker
45-2092,Pecan Gatherer
45-2092,Pepper Picker
45-2092,Vineyard Tender
45-2093,Aquaculture Worker
45-2093,Barn Hand
45-2093,Barn Worker
45-2093,Cattle Brander
45-2093,Cattle Driver
45-2093,Chicken Handler
45-2093,Chicken Vaccinator
45-2093,Cow Tender
45-2093,Egg Gatherer
45-2093,Farrowing Worker
45-2093,Goat Herder
45-2093,Groom
45-2093,Hatchery Worker
45-2093,Livestock Handler
45-2093,Poultry Debeaker
45-2093,Ranch Hand
45-2093,Sheep Shearer
45-2093,Shrimp Pond Laborer
45-2099,Crop Scout
45-2099,Irrigation Worker
45-2099,Livestock Showman
45-3031,Alligator Hunter
45-3031,Bird Trapper
45-3031,Commercial Crabber
45-3031,Commercial Fisher
45-3031,Crab Fisher
45-3031,Crabber
45-3031,Deer Hunter
45-3031,Fishing Boat Captain
45-3031,Fur Trapper
45-3031,Lobster Catcher
45-3031,Oyster Boat Laborer
45-3031,Predator Control Trapper
45-3031,Predatory Animal Exterminator
45-3031,Predatory Animal Hunter
45-3031,Predatory Animal Trapper
45-3031,Seaweed Harvester
45-3031,Shellfish Dredge Operator
45-3031,Wild Oyster Harvester
45-4011,Forest Nursery Worker
45-4011,Forester Aide
45-4011,Forestry Laborer
45-4011,Pine Straw Gatherer
45-4011,Rangelands Conservation Laborer
45-4011,Reforestation Worker
45-4011,Seedling Puller
45-4011,Wetlands Conservation Laborer
45-4021,Lumberjack
45-4021,Pulpwood Cutter
45-4021,Timber Cutter
45-4021,Timber Faller
45-4021,Timber Feller
45-4022,Combination Slasher-Loader Operator
45-4022,Delimber Operator
45-4022,Feller Buncher Operator
45-4022,Feller Operator
45-4022,Grapple Operator
45-4022,Grapple Skidder Operator
45-4022,Loader Operator
45-4022,Log Chipper Operator
45-4022,Log Hauler
45-4022,Log Loader Operator
45-4022,Log Processor Operator
45-4022,Log Stacker Operator
45-4022,Logging Cable Skidder Operator
45-4022,Logging Clam Bunk Operator
45-4022,Logging Crane Operator
45-4022,Logging Excavator Operator
45-4022,Logging Forwarder Operator
45-4022,Logging Operating Engineer
45-4022,Logging Shovel Operator
45-4022,Logging Slasher Operator
45-4022,Logging Tractor Operator
45-4022,Lumber Stacker Operator
45-4022,Timber Harvester Operator
45-4022,Tree Crusher Operator
45-4022,Tree-Shear Operator
45-4023,Log Check Scaler
45-4023,Log Grader
45-4023,Log Scaler
45-4023,Log Sorter
45-4023,Timber Estimator
45-4023,Veneer Grader
45-4029,Log Cutter
45-4029,Log Peeler
45-4029,Log Roper
45-4029,Logging Laborer
45-4029,Logging Swamper
45-4029,Rigging Slinger
45-4029,Timber Hand
47-1011,Carpenter Supervisor
47-1011,Drilling Foreman
47-1011,Electrician Supervisor
47-1011,Excavating Supervisor
47-1011,Foreman
47-1011,Foreperson
47-1011,Forewoman
47-1011,Quarry Boss
47-1011,Rig Supervisor
47-1011,Roustabout Crew Leader
47-1011,Segmental Paving Supervisor
47-1011,Solar Panel Installation Supervisor
47-1011,Tool Pushers
47-2011,Boiler Fitter
47-2011,Boiler Installer
47-2011,Boiler Mechanic
47-2011,Boiler Setter
47-2011,Boiler Tester
47-2011,Boilermaker Mechanic
47-2021,Adobe Layer
47-2021,Block Layer
47-2021,Blockmason
47-2021,Brick Chimney Builder
47-2021,Brick Setter
47-2021,Bricklayer
47-2021,Brickmason
47-2021,Brickmason Apprentice
47-2021,Firebrick Layer
47-2021,Furnace Mason
47-2021,Pottery Kiln Builder
47-2021,Refractory Bricklayer
47-2022,Banker Mason
47-2022,Curbstone Setter
47-2022,Granite Setter
47-2022,Memorial Mason
47-2022,Monument Mason
47-2022,Rock Mason
47-2022,Stone Chimney Mason
47-2022,Stone Layer
47-2031,Beam Builder
47-2031,Building Carpenter
47-2031,Construction Carpenter
47-2031,Counter Installer
47-2031,Custom Wood Stair Builder
47-2031,Finish Carpenter
47-2031,Hardwood Floor Installer
47-2031,House Carpenter
47-2031,Wood Floor Layer
47-2041,Carpet Layer
47-2041,Commercial Carpet Installer
47-2041,Residential Carpet Installer
47-2041,Wall-to-Wall Carpet Installer
47-2042,Composition Floor Layer
47-2042,Cork Floor Installer
47-2042,Laminate Floor Installer
47-2042,Linoleum Installer
47-2042,Resilient Tile Installer
47-2042,Shock-Absorption Floor Layer
47-2042,Vinyl Flooring Installer
47-2042,Vinyl Installer
47-2043,Floor Finisher
47-2043,Floor Refinisher
47-2043,Floor Sander
47-2043,Floor Sanding Machine Operator
47-2043,Floor Scraper
47-2043,Hardwood Finisher
47-2044,Ceramic Tile Installer
47-2044,Hard Tile Setter
47-2044,Marble Ceiling Installer
47-2044,Parquet Floor Layer
47-2044,Tile Installer
47-2044,Tile Mason
47-2044,Wood Tile Installer
47-2051,Cement Mason
47-2051,Cement Patcher
47-2051,Concrete Finisher
47-2051,Concrete Floor Installer
47-2051,Concrete Mason
47-2051,Concrete Smoother
47-2051,Concrete Swimming Pool Installer
47-2053,Granite-Chip Terrazzo  Finisher
47-2053,Marble-Chip Terrazzo Worker
47-2053,Onyx-Chip Terrazzo Worker
47-2053,Rustic Terrazzo Setter
47-2053,Terrazzo Finisher
47-2053,Terrazzo Grinder
47-2053,Terrazzo Installer
47-2053,Terrazzo Layer
47-2053,Terrazzo Setter
47-2053,Terrazzo Worker
47-2061,Air Hammer Operator
47-2061,Construction Craft Laborer
47-2061,Construction Trench Digger
47-2071,Asphalt Paver
47-2071,Asphalt Paving Machine Operator
47-2071,Asphalt Roller Operator
47-2071,Asphalt Tamping Machine Operator
47-2071,Blacktop-Paver Operator
47-2071,Paver Operator
47-2071,Screed Operator
47-2072,Diesel Pile Hammer Operator
47-2072,Hydraulic Pile Hammer Operator
47-2072,Hydraulic Press-In Operator
47-2072,Vibratory Pile Driver
47-2073,Angle Dozer Operator
47-2073,Blade Grader Operator
47-2073,Construction Backhoe Operator
47-2073,Construction Bulldozer Operator
47-2073,Construction Excavator
47-2073,Construction Shovel Operator
47-2073,Ditching Machine Operating Engineer
47-2073,Grader Operator
47-2073,Motor Grader Operator
47-2073,Road Grader
47-2073,Scraper Operator
47-2073,Steam Shovel Operating Engineer
47-2073,Steam Shovel Operator
47-2081,Acoustical Ceiling Installer
47-2081,Drywall Applicator
47-2081,Drywall Finisher
47-2081,Drywall Hanger
47-2081,Drywall Installer
47-2081,Drywall Sander
47-2081,Drywall Stripper
47-2081,Drywall Worker
47-2081,Sheet Rock Applier
47-2081,Sheet Rock Hanger
47-2081,Sheet Rock Installer
47-2081,Sheet Rock Worker
47-2082,Drywall Taper
47-2082,Sheet Rock Taper
47-2082,Wall Taper
47-2111,Chief Electrician
47-2111,Control Electrician
47-2111,Electrical Maintenance Worker
47-2111,Electrical Sign Wirer
47-2111,House Wirer
47-2111,Licensed Electrician
47-2111,Lighting Fixture Installer
47-2111,Marine Electrician
47-2111,Master Electrician
47-2111,Solar Photovoltaic Electrician
47-2111,Stage Electrician
47-2121,Leaded Glass Installer
47-2121,Plate Glass Installer
47-2121,Stained Glass Glazier
47-2121,Stained Glass Installer
47-2121,Stained Glass Joiner
47-2121,Window Glazier
47-2131,Ceiling Insulation Blower
47-2131,Composition Weatherboard Installer
47-2131,Cork Insulation Installer
47-2131,Cork Insulator
47-2131,Insulation Machine Operator
47-2131,Interior Surface Insulation Worker
47-2131,Wall Insulation Sprayer
47-2132,Boiler Coverer
47-2132,Heat and Frost Insulator
47-2132,Pipe Coverer
47-2132,Pipe Insulator
47-2132,Refrigeration Insulator
47-2132,Sheet Metal Insulator
47-2141,Bridge Painter
47-2141,Facilities Painter
47-2141,Highway Painter
47-2141,House Painter
47-2141,Industrial Painter
47-2141,Parking Line Painter
47-2141,Roof Painter
47-2141,Traffic Line Painter
47-2142,Billboard Poster
47-2142,Wall Covering Installer
47-2142,Wallpaper Hanger
47-2142,Wallpaperer
47-2151,Cast-Iron Drain Pipe Layer
47-2151,Pipe Layer
47-2151,Sewer Pipe Layer
47-2151,Trench Pipe Layer
47-2151,Water Main Pipe Layer
47-2152,Fire Sprinkler Installer
47-2152,Gas Main Fitter
47-2152,Gas Plumber
47-2152,Hydraulic Plumber
47-2152,Industrial Gas Fitter
47-2152,Marine Pipefitter
47-2152,Marine Steamfitter
47-2152,Master Plumber
47-2152,Pipe Fitter
47-2152,Plumber
47-2152,Solar Thermal Installer
47-2152,Sprinkler Fitter
47-2152,Steamfitter
47-2152,Water Pump Installer
47-2161,Dry Plasterer
47-2161,Journey Level Plasterer
47-2161,Molding Plasterer
47-2161,Ornamental Plasterer
47-2161,Plasterer Apprentice
47-2161,Stucco Plasterer
47-2161,Stucco Worker
47-2161,Swimming Pool Plasterer
47-2171,Post Tensioning Ironworker
47-2171,Rebar Worker
47-2171,Reinforcing Steel  Worker
47-2171,Rod Buster
47-2171,Steel Rod Buster
47-2171,Steel Tier
47-2181,Composition Roofer
47-2181,Hot Tar Roofer
47-2181,Industrial Roofer
47-2181,Metal Roofing Mechanic
47-2181,Residential Roofer
47-2181,Sheet Metal Roofer
47-2181,Shingles Roofer
47-2181,Slate Roofer
47-2181,Terra Cotta Roofer
47-2211,Air Conditioning Sheet Metal Installer
47-2211,"Heating, Ventilation, and Air Conditioning  (HVAC) Sheet Metal Installer"
47-2211,Sheet Metal Duct Installer
47-2211,Sheet Metal Fabricator
47-2211,Sheet Metal Former
47-2211,Sheet Metal Installer
47-2211,Sheet Metal Layout Mechanic
47-2211,Sheet Metal Layout Worker
47-2211,Tinsmith
47-2221,Bridge Ironworker
47-2221,Construction Ironworker
47-2221,Iron Guardrail Installer
47-2221,Metal Tank Erector
47-2221,Ornamental Ironworker
47-2221,Precast Concrete Ironworker
47-2221,Pre-Engineered Metal Building Ironworker
47-2221,Steel Fabricator
47-2221,Steel Fitter
47-2221,Structural Steel Erector
47-2221,Wind Turbine Erector
47-2231,Photovoltaic (PV) Installation Technician
47-2231,PV Installer
47-2231,PV Panel Installer
47-2231,Solar PV Installer
47-3011,Adobe Layer Helper
47-3011,Brick Carrier
47-3011,Brick Washer
47-3011,Bricklayer Helper
47-3011,Ceramic Tile Installation Helper
47-3011,Chimney Builder Helper
47-3011,Firebrick Layer Helper
47-3011,Marble Installation Helper
47-3011,Mortar Mixer
47-3011,Parquet Floor Layer's Helper
47-3011,Refractory Tile Helper
47-3011,Wood Tile Installation Helper
47-3012,Beam Builder Helper
47-3012,Building Carpenter Helper
47-3012,Carpenter Assistant
47-3012,Carpenter Helper
47-3012,Construction Carpenters Helper
47-3012,Hardwood Floor Installation Helper
47-3012,House Carpenter Helper
47-3013,Electrical Sign Wirer Helper
47-3013,Electrician's Assistant
47-3013,House Wirer Helper
47-3013,Marine Electrician Helper
47-3013,Stage Electrician Helper
47-3013,Utilities Ground Worker
47-3014,Billboard Poster Helper
47-3014,Bridge Painter Helper
47-3014,Dry Plasterer Helper
47-3014,Highway Painter Helper
47-3014,House Painter Helper
47-3014,Ornamental Plasterer Helper
47-3014,Plaster Tender
47-3014,Ship Painter Helper
47-3014,Swimming Pool Plasterer Helper
47-3014,Wallpaper Hanger Helper
47-3014,Wallpaperer Helper
47-3015,Gas Main Fitter Helper
47-3015,Hydraulic Plumber Helper
47-3015,Industrial Gas Fitter Helper
47-3015,Marine Pipefitter Helper
47-3015,Marine Steam Fitter Helper
47-3015,Pipe Fitter Helper
47-3015,Plumber Assistant
47-3015,Plumber Helper
47-3015,Sewer Pipe Layer Helper
47-3015,Sprinkler Fitter Helper
47-3015,Trench Pipe Layer Helper
47-3015,Water Main Installer Helper
47-3016,Hot Tar Roofer Helper
47-3016,Industrial Roofer Helper
47-3016,Residential Roofer Helper
47-3016,Roofer Assistant
47-3016,Roofer Helper
47-3016,Roofing Laborer
47-3016,Shingles Roofer Helper
47-3016,Slate Roofer Helper
47-3016,Terra Cotta Roofer Helper
47-3019,Boiler Coverer Helper
47-3019,Bridge Ironworker Helper
47-3019,Carpet Layer Helper
47-3019,Cellulose Insulation Helper
47-3019,Construction Ironworker Helper
47-3019,Cork Insulator Helper
47-3019,Drywall Hanger Helper
47-3019,Drywall Stripper Helper
47-3019,Drywall Taper Helper
47-3019,Heat and Frost Insulator Helper
47-3019,HVAC Sheet Metal Installer Helper
47-3019,Linoleum Layer Helper
47-3019,Ornamental Ironworker Helper
47-3019,Pipe Insulator Helper
47-3019,Plate Glass Installer Helper
47-3019,Post Tensioning Ironworker Helper
47-3019,Rod Buster Helper
47-3019,Sheet Metal Duct Installer Helper
47-3019,Sheet Rock Installation Helper
47-3019,Sheet Rock Taper Helper
47-3019,Stained Glass Glazier Helper
47-3019,Terrazzo Finisher Helper
47-3019,Terrazzo Layer Helper
47-3019,Terrazzo Worker Helper
47-3019,Trench Digger Helper
47-3019,Wall Taper Helper
47-3019,Window Glazier Helper
47-4011,Architectural Inspector
47-4011,Bridge Inspector
47-4011,Building Code Inspector
47-4011,Building Inspector
47-4011,Construction Inspector
47-4011,Electrical Inspector
47-4011,Elevator Inspector
47-4011,Highway Inspector
47-4011,Home Inspector
47-4011,Plumbing Inspector
47-4011,Public Works Inspector
47-4011,Residential Building Inspector
47-4021,Elevator Adjuster
47-4021,Elevator Constructor
47-4021,Elevator Installer
47-4021,Elevator Mechanic
